ano,mes,tipoDespesa,tipoDocumento,dataDocumento,valorDocumento,nomeFornecedor,cnpjCpfFornecedor,valorLiquido,valorGlosa,parcela
2023,1,TELEFONIA,Nota Fiscal,2023-02-14,232.86,CELULAR FUNCIONAL,00000000000001,232.86,0.0,0
2023,10,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,Nota Fiscal,2023-10-23,1000.0,TECNEGOCIOS SOLUÇÕES EM INFORMÁTICA LTDA-ME,11521613000190,1000.0,0.0,0
2023,11,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,Nota Fiscal,2023-11-21,1000.0,TECNEGOCIOS SOLUÇÕES EM INFORMÁTICA LTDA-ME,11521613000190,1000.0,0.0,0
2023,12,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,Nota Fiscal,2023-12-18,1000.0,TECNEGOCIOS SOLUÇÕES EM INFORMÁTICA LTDA-ME,11521613000190,1000.0,0.0,0
2023,3,COMBUSTÍVEIS E LUBRIFICANTES.,Nota Fiscal Eletrônica,2023-03-01,200.0,069 - PENISULA - CASCOL COMBUSTIVEIS PARA VEICULOS LTDA,00306597006995,200.0,0.0,0
2023,3,COMBUSTÍVEIS E LUBRIFICANTES.,Nota Fiscal Eletrônica,2023-03-13,290.01,069 - PENISULA - CASCOL COMBUSTIVEIS PARA VEICULOS LTDA,00306597006995,290.01,0.0,0
2023,3,COMBUSTÍVEIS E LUBRIFICANTES.,Nota Fiscal Eletrônica,2023-03-21,200.0,069 - PENISULA - CASCOL COMBUSTIVEIS PARA VEICULOS LTDA,00306597006995,200.0,0.0,0
2023,3,COMBUSTÍVEIS E LUBRIFICANTES.,Nota Fiscal Eletrônica,2023-03-27,100.0,069 - PENISULA - CASCOL COMBUSTIVEIS PARA VEICULOS LTDA,00306597006995,100.0,0.0,0
2023,3,COMBUSTÍVEIS E LUBRIFICANTES.,Nota Fiscal Eletrônica,2023-03-29,200.0,069 - PENISULA - CASCOL COMBUSTIVEIS PARA VEICULOS LTDA,00306597006995,200.0,0.0,0
2023,4,COMBUSTÍVEIS E LUBRIFICANTES.,Nota Fiscal Eletrônica,2023-04-03,200.0,069 - PENISULA - CASCOL COMBUSTIVEIS PARA VEICULOS LTDA,00306597006995,200.0,0.0,0
2023,4,COMBUSTÍVEIS E LUBRIFICANTES.,Nota Fiscal Eletrônica,2023-04-12,200.0,069 - PENISULA - CASCOL COMBUSTIVEIS PARA VEICULOS LTDA,00306597006995,200.0,0.0,0
2023,5,COMBUSTÍVEIS E LUBRIFICANTES.,Nota Fiscal Eletrônica,2023-05-12,100.0,069 - PENISULA - CASCOL COMBUSTIVEIS PARA VEICULOS LTDA,00306597006995,100.0,0.0,0
2023,5,COMBUSTÍVEIS E LUBRIFICANTES.,Nota Fiscal Eletrônica,2023-05-16,50.0,069 - PENISULA - CASCOL COMBUSTIVEIS PARA VEICULOS LTDA,00306597006995,50.0,0.0,0
2023,5,COMBUSTÍVEIS E LUBRIFICANTES.,Nota Fiscal Eletrônica,2023-05-16,200.0,069 - PENISULA - CASCOL COMBUSTIVEIS PARA VEICULOS LTDA,00306597006995,200.0,0.0,0
2023,5,COMBUSTÍVEIS E LUBRIFICANTES.,Nota Fiscal Eletrônica,2023-05-22,200.0,069 - PENISULA - CASCOL COMBUSTIVEIS PARA VEICULOS LTDA,00306597006995,200.0,0.0,0
2023,6,COMBUSTÍVEIS E LUBRIFICANTES.,Nota Fiscal Eletrônica,2023-06-05,200.0,069 - PENISULA - CASCOL COMBUSTIVEIS PARA VEICULOS LTDA,00306597006995,200.0,0.0,0
2023,6,COMBUSTÍVEIS E LUBRIFICANTES.,Nota Fiscal Eletrônica,2023-06-19,200.0,069 - PENISULA - CASCOL COMBUSTIVEIS PARA VEICULOS LTDA,00306597006995,200.0,0.0,0
2023,6,COMBUSTÍVEIS E LUBRIFICANTES.,Nota Fiscal Eletrônica,2023-06-21,200.0,069 - PENISULA - CASCOL COMBUSTIVEIS PARA VEICULOS LTDA,00306597006995,200.0,0.0,0
2023,6,COMBUSTÍVEIS E LUBRIFICANTES.,Nota Fiscal Eletrônica,2023-06-26,100.0,069 - PENISULA - CASCOL COMBUSTIVEIS PARA VEICULOS LTDA,00306597006995,100.0,0.0,0
2023,6,COMBUSTÍVEIS E LUBRIFICANTES.,Nota Fiscal Eletrônica,2023-06-30,100.0,069 - PENISULA - CASCOL COMBUSTIVEIS PARA VEICULOS LTDA,00306597006995,100.0,0.0,0
2023,7,COMBUSTÍVEIS E LUBRIFICANTES.,Nota Fiscal Eletrônica,2023-07-04,150.0,069 - PENISULA - CASCOL COMBUSTIVEIS PARA VEICULOS LTDA,00306597006995,150.0,0.0,0
2023,7,COMBUSTÍVEIS E LUBRIFICANTES.,Nota Fiscal Eletrônica,2023-07-18,200.0,069 - PENISULA - CASCOL COMBUSTIVEIS PARA VEICULOS LTDA,00306597006995,200.0,0.0,0
2023,8,COMBUSTÍVEIS E LUBRIFICANTES.,Nota Fiscal Eletrônica,2023-07-31,200.0,069 - PENISULA - CASCOL COMBUSTIVEIS PARA VEICULOS LTDA,00306597006995,200.0,0.0,0
2023,8,COMBUSTÍVEIS E LUBRIFICANTES.,Nota Fiscal Eletrônica,2023-08-10,100.0,069 - PENISULA - CASCOL COMBUSTIVEIS PARA VEICULOS LTDA,00306597006995,100.0,0.0,0
2023,8,COMBUSTÍVEIS E LUBRIFICANTES.,Nota Fiscal Eletrônica,2023-08-14,200.0,069 - PENISULA - CASCOL COMBUSTIVEIS PARA VEICULOS LTDA,00306597006995,200.0,0.0,0
2023,8,COMBUSTÍVEIS E LUBRIFICANTES.,Nota Fiscal Eletrônica,2023-08-18,200.0,069 - PENISULA - CASCOL COMBUSTIVEIS PARA VEICULOS LTDA,00306597006995,200.0,0.0,0
2023,9,COMBUSTÍVEIS E LUBRIFICANTES.,Nota Fiscal Eletrônica,2023-09-01,200.0,069 - PENISULA - CASCOL COMBUSTIVEIS PARA VEICULOS LTDA,00306597006995,200.0,0.0,0
2023,9,COMBUSTÍVEIS E LUBRIFICANTES.,Nota Fiscal Eletrônica,2023-09-05,200.0,069 - PENISULA - CASCOL COMBUSTIVEIS PARA VEICULOS LTDA,00306597006995,200.0,0.0,0
2023,9,COMBUSTÍVEIS E LUBRIFICANTES.,Nota Fiscal Eletrônica,2023-09-11,200.0,069 - PENISULA - CASCOL COMBUSTIVEIS PARA VEICULOS LTDA,00306597006995,200.0,0.0,0
2023,11,COMBUSTÍVEIS E LUBRIFICANTES.,Nota Fiscal Eletrônica,2023-11-13,300.0,069 - PENISULA - CASCOL COMBUSTIVEIS PARA VEICULOS LTDA,00306597006995,300.0,0.0,0
2023,11,COMBUSTÍVEIS E LUBRIFICANTES.,Nota Fiscal Eletrônica,2023-11-22,50.0,069 - PENISULA - CASCOL COMBUSTIVEIS PARA VEICULOS LTDA,00306597006995,50.0,0.0,0
2023,11,COMBUSTÍVEIS E LUBRIFICANTES.,Nota Fiscal Eletrônica,2023-11-23,100.0,069 - PENISULA - CASCOL COMBUSTIVEIS PARA VEICULOS LTDA,00306597006995,100.0,0.0,0
2023,12,COMBUSTÍVEIS E LUBRIFICANTES.,Nota Fiscal Eletrônica,2023-12-04,200.0,069 - PENISULA - CASCOL COMBUSTIVEIS PARA VEICULOS LTDA,00306597006995,200.0,0.0,0
